,Value,Rob. Std err,Rob. t-test,Rob. p-value
b_log_distance_alone_walk,-2.1020985974272333,0.2553226797597459,-8.233105650486165,2.220446049250313e-16
b_log_distance_dad_bike,1.0397915244263214,0.8250861895592364,1.26022170481581,0.20758939510206753
b_log_distance_dad_car,0.2601910741751059,0.18038176159785935,1.4424466856863962,0.14917640159984047
b_log_distance_dad_walk,-1.4900652883396153,0.2936428969126494,-5.074412846372607,3.8869433072186155e-07
b_log_distance_mom_bike,0.4918387034896173,0.6190887262998258,0.7944559197988349,0.42693006096298425
b_log_distance_mom_walk,-2.006691125695181,0.23822118086565547,-8.423646958692778,0.0
b_log_distance_non_hh_bike,-0.08923280648010715,0.8186817220010807,-0.10899572334655025,0.9132058824018396
b_log_distance_non_hh_car,0.4613086373943598,0.3688777537322837,1.2505732122006974,0.211090228975646
b_log_distance_non_hh_walk,-1.43622328547137,0.25480162840957143,-5.636633071915718,1.734070464998183e-08
b_log_distance_sib_bike,-0.031370576161819916,0.4742891778888788,-0.06614229804157523,0.947264535593505
b_log_distance_sib_car,-0.7710984687603067,0.5151969656593768,-1.4967061534871686,0.13446973441361787
b_log_distance_sib_walk,-2.2291005530865076,0.26963392094667266,-8.267136958362787,2.220446049250313e-16
b_log_income_k_MomDad_bike,-0.40795451471029287,0.629147977522256,-0.6484237878613566,0.5167108888400238
b_log_income_k_MomDad_car,-0.40162647597911355,0.21086157853010873,-1.9046925418030374,0.05682004905695193
b_log_income_k_MomDad_walk,0.6577119780311652,0.21397840115146857,3.0737306872649808,0.002114001757675066
b_log_income_k_alone_bike,0.5605518238433053,0.19366863427376765,2.894386207375821,0.0037990057918955156
b_log_income_k_alone_walk,0.0281138476067865,0.11122018704538818,0.25277648198265873,0.8004409422917056
b_log_income_k_dad_bike,0.2140997989872047,0.6519413504280813,0.32840346581271657,0.7426066228387456
b_log_income_k_dad_car,0.2526122603885117,0.09028581282403093,2.7979175519066173,0.005143323971110281
b_log_income_k_dad_walk,0.49026983352576714,0.2298616005466209,2.132891411005075,0.03293363509344238
b_log_income_k_mom_bike,0.7065575299020954,0.4647083472077948,1.520432189667894,0.12840238939656512
b_log_income_k_mom_walk,0.07280005386734173,0.11816059175609377,0.6161111144197303,0.5378211870740179
b_log_income_k_non_hh_bike,0.8087354776021924,0.6116724000922259,1.3221709488285789,0.18611123255950668
b_log_income_k_non_hh_car,-0.04361109457372869,0.14199832394572265,-0.30712400936787515,0.7587489834396266
b_log_income_k_non_hh_walk,-0.06650470242092082,0.15781531186584416,-0.42140842757675645,0.6734568662499381
b_log_income_k_sib_bike,0.6020583264670902,0.3082403761352347,1.9532104587198804,0.0507946622927955
b_log_income_k_sib_car,0.6538566693953659,0.5058721712439743,1.2925333840513258,0.1961724924448811
b_log_income_k_sib_walk,0.23467772497580686,0.1601721116230431,1.4651597122482154,0.1428773484487713
b_non_work_dad_MomDad_bike,2.594586857651773,0.6023533050775847,4.3074169856469595,1.6517205426280768e-05
b_non_work_dad_MomDad_car,0.513199061901638,0.6970263759328943,0.736269213937244,0.4615668778427744
b_non_work_dad_MomDad_walk,1.5511864228966017,0.5053138430753152,3.069748521940656,0.0021423907967743627
b_non_work_dad_alone_bike,0.10773803143002356,0.5036026394459957,0.2139346043709069,0.830598054499305
b_non_work_dad_alone_walk,0.6119485506736667,0.3456969765418966,1.770187743020373,0.07669587049319038
b_non_work_dad_dad_bike,0.835915744998675,0.4787541335588257,1.746023034380682,0.08080694934243171
b_non_work_dad_dad_car,1.1257812841490196,0.22484261165061908,5.006974771749943,5.5292170708654e-07
b_non_work_dad_dad_walk,1.450144962125137,0.428855831267877,3.3814276416340254,0.000721102218598002
b_non_work_dad_mom_bike,-7.586220667726267,0.44276381444186685,-17.133786502605687,0.0
b_non_work_dad_mom_walk,0.09391162076838687,0.43023277726299186,0.21828095331514166,0.8272102137190942
b_non_work_dad_non_hh_bike,-7.358297830229925,0.5249770622962829,-14.016417780320275,0.0
b_non_work_dad_non_hh_car,0.28651125454812065,0.5050094131882013,0.5673384437318336,0.5704842628550661
b_non_work_dad_non_hh_walk,0.12390108736343752,0.5005735029126619,0.24751826982950653,0.8045071540199427
b_non_work_dad_sib_bike,-0.4365962486287779,0.947743233820421,-0.46066933853890685,0.6450358562853498
b_non_work_dad_sib_car,1.2144196822891988,1.0256537106033976,1.184044546160467,0.2363954296755022
b_non_work_dad_sib_walk,1.1765374302903018,0.39192125602351213,3.001974024648765,0.0026823506261675067
b_non_work_mom_MomDad_bike,-0.6976300060937866,0.5257126736748745,-1.32701766768749,0.1845028383478331
b_non_work_mom_MomDad_car,-0.9750909171092293,0.5771577644485582,-1.6894703271312204,0.09112933362542863
b_non_work_mom_MomDad_walk,0.06700935827973198,0.5989707445643573,0.11187417563852664,0.9109231728932055
b_non_work_mom_alone_bike,-0.5573261233478454,0.3124484358777356,-1.7837379207298483,0.07446626120554933
b_non_work_mom_alone_walk,-0.4494902498969494,0.22675184632669937,-1.9823002863197556,0.04744564201210877
b_non_work_mom_dad_bike,-0.4824549050525016,1.0941812406220304,-0.44092777973257075,0.6592652817455429
b_non_work_mom_dad_car,-0.6115320803628478,0.16412989968681083,-3.725902967891653,0.00019461726534442114
b_non_work_mom_dad_walk,-0.3784083154236105,0.3213629323978352,-1.1775107745007605,0.23899169960676891
b_non_work_mom_mom_bike,0.05139648564785197,0.5480242368995113,0.09378505946859483,0.9252799001867249
b_non_work_mom_mom_walk,0.45070607112392114,0.22899727121114838,1.9681722351544737,0.049048223727589324
b_non_work_mom_non_hh_bike,-1.1201624195283275,1.0655869685341257,-1.0512163273442416,0.2931592459748633
b_non_work_mom_non_hh_car,-0.9773310850829916,0.3400722778592571,-2.8738922538327913,0.004054472559507971
b_non_work_mom_non_hh_walk,-0.9173894668245647,0.31700099829702194,-2.8939639677884985,0.003804118130125378
b_non_work_mom_sib_bike,1.4507704054713295,0.5830223396311177,2.488361606159452,0.01283331737297111
b_non_work_mom_sib_car,-9.001175250813763,0.5278959999900968,-17.051038937560847,0.0
b_non_work_mom_sib_walk,-0.4083117546155257,0.2744795324004041,-1.4875854350403452,0.1368602568649302
b_veh_per_driver_MomDad_bike,-4.301965701215093,1.1345242023821938,-3.791867720567027,0.00014951855279821125
b_veh_per_driver_MomDad_car,0.5077414516261722,0.5196561242499684,0.9770720057595916,0.3285335057204526
b_veh_per_driver_MomDad_walk,-2.7791093442962844,1.212914501168951,-2.291265659383169,0.021948053475854934
b_veh_per_driver_alone_bike,-0.5485706291226158,0.2980048911911675,-1.8408108233724008,0.06564928616726418
b_veh_per_driver_alone_walk,-0.29412159366647167,0.20556059883333888,-1.430826701886264,0.15247988832892623
b_veh_per_driver_dad_bike,-0.9564198857171089,1.667643700060302,-0.573515725021193,0.5662955549968185
b_veh_per_driver_dad_car,-0.3770071370962137,0.16862266423415348,-2.235803465735143,0.025364647828471698
b_veh_per_driver_dad_walk,-2.4075340784091255,0.4646490182440792,-5.181403562429249,2.2022244072772423e-07
b_veh_per_driver_mom_bike,-0.21193193842012248,1.0112681097006675,-0.20957047531426037,0.8340029251841339
b_veh_per_driver_mom_walk,-1.0230065621589375,0.3435581120443763,-2.977681289699249,0.002904378237445826
b_veh_per_driver_non_hh_bike,-1.3112595446309292,0.5813679640648772,-2.255472653606005,0.02410367688749271
b_veh_per_driver_non_hh_car,-0.24532234820645107,0.1894456105994015,-1.2949487054899658,0.19533792503067904
b_veh_per_driver_non_hh_walk,-1.2084084635741588,0.4551039931517795,-2.655235905985884,0.00792529629804184
b_veh_per_driver_sib_bike,-2.368333582157035,0.7895511292948086,-2.9995949524792946,0.0027033884637821526
b_veh_per_driver_sib_car,-1.8417554731827437,1.0813220604459697,-1.7032441495026454,0.08852238765285958
b_veh_per_driver_sib_walk,-0.11132099914874861,0.24174292637432504,-0.46049330509209785,0.6451621758703965
