"asc_dp","asc_do","asc_wa","asc_wp","asc_wo","asc_ba","asc_bp","asc_bo","beta_nadults_dp","beta_nadults_do","beta_nadults_wa","beta_nadults_wp","beta_nadults_wo","beta_nadults_ba","beta_nadults_bp","beta_nadults_bo","lambda_alone","lambda_others","lambda_parent","logLike"
2.45728815742874,-1.01226382926066,0,1.0668037834845,-0.673950858548324,-0.784198215700579,-0.68373343980167,-1.26912668977299,-0.966531169247996,-0.492365439691906,0,-0.17836573144341,-0.100304772654927,-0.0404335008023574,-0.319728685227763,-0.456805371064566,0.816682601927203,1.24721829878735,0.63971440971758,-14362.7257572723
2.39230007387564,-1.37712763899855,0,1.16220207359563,-0.746381865929899,-0.832261870803493,-0.673420362845926,-1.72803109927338,-1.26015771914918,-0.481171225904177,0,-0.189037513820354,-0.159487109397999,-0.281642610406841,-0.102622732975166,-0.521963835808628,1.09705452390636,1.66186398714098,0.602809606139125,-14323.3223812213
2.4200148858963,-1.47755256023831,0,1.15975638609317,-0.760814490261104,-0.829231638745667,-0.632280757176965,-1.83504145179642,-1.30829993397708,-0.457717715384253,0,-0.136920171694435,-0.123888256497787,-0.284720836592442,-0.0245328454847149,-0.439523109172609,1.18302153105776,1.71629529339512,0.586039927700247,-14313.5024427671
2.3928731121078,-1.75846770317586,0,1.18676973662756,-0.900380627354467,-0.92173110260395,-0.467976938815751,-2.42226742404912,-1.1027590637429,-0.409835220963758,0,-0.12312441722174,-0.0169228665033141,-0.400788179309256,-0.0547475169868526,-0.114941674576817,1.46033240331893,1.72884613770794,0.59300813309858,-14269.4563465025
1.86296962685737,-3.36029961192191,0,1.01696379456885,-0.142235652609986,-1.50765584794214,0.56959167750997,-5.06154536236235,-0.690812004754044,-0.183506286076895,0,-0.00455654767548533,-0.504019764656615,0.153534753997013,-0.378318280524537,1.01243954209582,0.950391041296757,1.75176239356484,0.490868101777224,-14178.519692424
1.80035187873377,-3.97477897068928,0,1.00639211117938,0.134301590799355,-1.38534511109647,0.0193873152062429,-5.23342306346321,-0.271897357921275,-0.144933530142244,0,-0.0130246884548294,-0.631830919055572,0.161813347683721,-0.114018337667653,1.13179994754882,0.843019016843688,1.64246659189924,0.497801780083227,-14138.3889186295
1.57033250188931,-5.72203137959802,0,0.869283422448587,-0.439572146014629,-1.16123540980866,-0.0644656195581323,-4.69842584401231,0.425458612984152,-0.0608159322902262,0,0.0230058746682037,-0.450985595975645,0.316340744563274,-0.0208768263063223,0.704048304677169,0.338911563124469,1.71396055946544,0.492477024059597,-14112.9569428097
1.64469090060807,-6.50400000610988,0,1.01615348159794,-0.356952703443525,-1.09148651610373,0.187230418497186,-4.25423038605085,0.797774440845513,-0.0659183948911973,0,-0.0209747551070954,-0.484919351888646,0.246247096287889,-0.0617678592277278,0.471668156576708,0.412815282581794,1.75568736726504,0.491561588655285,-14072.2403203021
1.68632294949377,-6.59510584096206,0,1.06374355035897,-0.362493991766268,-0.846611603004657,0.253967883756655,-4.22049947342954,0.832020740673252,-0.086440240088309,0,-0.0434541162937982,-0.486228203670844,0.165374209273516,-0.0903690210269593,0.455782053869391,0.353865192781705,1.74660264989974,0.488571739749117,-14061.7464666151
1.76351140581917,-6.7073790199799,0,1.14933508715375,-0.365267055892932,-0.402300552371459,0.364799078241912,-4.09664049591884,0.879221267386205,-0.121480863604938,0,-0.0818699951236806,-0.485629910341492,0.0297789344610334,-0.139884981060701,0.410373852148629,0.245698595850286,1.71695832351365,0.485201131446107,-14039.9305250342
