"","asc_dp","asc_do","asc_wp","asc_wo","asc_ba","asc_bp","asc_bo","beta_age_dp","beta_age_do","beta_age_wp","beta_age_wo","beta_age_ba","beta_age_bp","beta_age_bo","beta_female_dp","beta_female_do","beta_female_wp","beta_female_wo","beta_female_ba","beta_female_bp","beta_female_bo","beta_distance_dp","beta_distance_do","beta_distance_wp","beta_distance_wo","beta_distance_ba","beta_distance_bp","beta_distance_bo","beta_density_dp","beta_density_do","beta_density_wp","beta_density_wo","beta_density_ba","beta_density_bp","beta_density_bo","beta_school_dp","beta_school_do","beta_school_wp","beta_school_wo","beta_school_ba","beta_school_bp","beta_school_bo","beta_income_dp","beta_income_do","beta_income_wp","beta_income_wo","beta_income_ba","beta_income_bp","beta_income_bo"
"beta_age_bo",65.4220840933995,0.321362020268943,20.9002861779587,6.47042034091403,4.24218179924961,2.60320913318503,-112.78250850573,65.4220840933938,0.321362020269014,20.9002861781006,6.4704203409139,4.24218179925172,2.60320913318374,-112.782508505739,65.4220840933752,0.321362020269038,20.9002861781363,6.47042034091678,4.24218179925242,2.60320913318432,-112.782508505537,65.42208409339,0.32136202026896,20.9002861781309,6.47042034092863,4.24218179925225,2.6032091331849,-112.782508505545,65.4220840934097,0.321362020268998,20.9002861781183,6.4704203409305,4.24218179925268,2.60320913318447,-112.782508505525,65.4220840934303,0.321362020269032,20.90028617809,6.47042034094046,4.24218179925316,2.6032091331845,-112.782508505524,65.4220840934098,0.321362020268986,20.900286178041,6.47042034092918,4.24218179925071,2.60320913318397,-112.782508505763
"beta_female_dp",-2602.44650383782,17.2148442923407,1119.59584571621,346.610393525229,227.247050360717,139.449866414005,65.4220846410246,-2602.4465038376,17.2148442923445,1119.59584572381,346.610393525222,227.24705036083,139.449866413936,65.4220846410296,-2602.44650383686,17.2148442923459,1119.59584572142,346.610393525377,227.247050360868,139.449866413967,65.4220846410289,-2602.44650383745,17.2148442923416,1119.59584572113,346.6103936127,227.247050360859,139.449866413998,65.4220846410335,-2602.44650383823,17.2148442923437,1119.59584569015,346.610393612801,227.247050360815,139.449866413975,65.4220846410248,-2602.44650380185,17.2148442923455,1119.59584572324,346.610393613334,227.247050360268,139.449866413976,65.422084641021,-2602.44650383796,17.2148442923431,1119.59584568171,346.610393612812,227.247050360137,139.449866413948,65.4220846410427
"beta_female_do",17.2148439576884,-29.9138325602651,5.49959709031002,1.70259551891632,1.11626662349752,0.684995648467088,0.321361693464174,17.2148439576869,-29.9138325602717,5.49959709034736,1.70259551891628,1.11626662349807,0.68499564846675,0.321361693464199,17.214843957682,-29.913832560274,5.49959709035466,1.70259551891704,1.11626662349826,0.684995648466903,0.321361693464195,17.2148439576862,-29.9138325602667,5.49959709035324,1.70259551921153,1.11626662349821,0.684995648467054,0.321361693464218,17.214843957691,-29.9138325602702,5.49959709035198,1.70259551921202,1.116266623498,0.684995648466943,0.321361693464175,17.214843958506,-29.9138325602735,5.49959709034458,1.70259551921464,1.11626662349829,0.684995648466949,0.321361693464156,17.2148439576893,-29.9138325602692,5.49959709032954,1.70259551921207,1.11626662349765,0.684995648466811,0.321361693464263
"beta_female_wp",1119.59585061107,5.49959873564061,-1593.31971227531,110.731055551307,72.5982445849448,44.5498196713937,20.9002853163395,1119.59585061097,5.49959873564182,-1593.31971228612,110.731055551304,72.598244584981,44.5498196713718,20.9002853163411,1119.59585061065,5.49959873564224,-1593.31971228884,110.731055551354,72.598244584993,44.5498196713817,20.9002853163409,1119.59585061117,5.4995987356409,-1593.31971228843,110.731055562137,72.59824458499,44.5498196713916,20.9002853163423,1119.59585061124,5.49959873564155,-1593.31971228715,110.731055562169,72.5982445849762,44.5498196713843,20.9002853163395,1119.59585067032,5.49959873564214,-1593.31971228532,110.73105556234,72.5982445849558,44.5498196713847,20.9002853163383,1119.59585061139,5.49959873564135,-1593.31971228125,110.731055394697,72.5982445849138,44.5498196713757,20.9002853163453
"beta_female_wo",346.61039376554,1.70259355434341,110.731049635081,-569.718670752338,22.4753478719296,13.7919697239411,6.47042186760468,346.610393765511,1.70259355434379,110.731049635833,-569.718670752327,22.4753478719408,13.7919697239343,6.47042186760517,346.610393765412,1.70259355434392,110.731049636022,-569.718670752581,22.4753478719445,13.7919697239373,6.4704218676051,346.610393765652,1.7025935543435,110.731049635993,-569.718670785555,22.4753478719436,13.7919697239404,6.47042186760556,346.610393765595,1.70259355434371,110.731049635867,-569.71867078572,22.4753478719393,13.7919697239381,6.47042186760469,346.610393751666,1.70259355434389,110.731049635777,-569.718670786597,22.4753478719276,13.7919697239383,6.47042186760432,346.61039376568,1.70259355434364,110.731049635457,-569.718670780331,22.4753478719146,13.7919697239355,6.47042186760646
"beta_female_ba",227.247050224887,1.11626694158602,72.598251890283,22.4753416651689,-381.262717687186,9.04238611977028,4.24218227772806,227.247050224867,1.11626694158626,72.5982518907759,22.4753416651684,-381.262717687376,9.04238611976582,4.24218227772839,227.247050224803,1.11626694158635,72.5982518909,22.4753416651784,-381.262717687439,9.04238611976784,4.24218227772834,227.247050224859,1.11626694158608,72.5982518908812,22.4753416652867,-381.262717687424,9.04238611976984,4.24218227772864,227.247050224923,1.11626694158621,72.5982518908376,22.4753416652932,-381.262717687302,9.04238611976836,4.24218227772807,227.247050224866,1.11626694158633,72.5982518907392,22.4753416653278,-381.262717687382,9.04238611976844,4.24218227772783,227.247050224904,1.11626694158617,72.5982518905691,22.475341665294,-381.262717687162,9.04238611976663,4.24218227772923
"beta_female_bp",139.44986764943,0.684994986503741,44.5498198129782,13.7919708918825,9.04238424601167,-237.454923109111,2.60320912742442,139.449867649418,0.684994986503893,44.5498198132806,13.7919708918822,9.04238424601618,-237.454923108994,2.60320912742462,139.449867649379,0.684994986503945,44.5498198135199,13.7919708918883,9.04238424601767,-237.454923109047,2.60320912742459,139.449867649402,0.684994986503777,44.5498198135084,13.7919708919041,9.0423842460173,-237.4549231091,2.60320912742477,139.449867649452,0.684994986503859,44.5498198072834,13.791970891908,9.04238424601558,-237.454923108359,2.60320912742442,139.449867657944,0.684994986503933,44.5498198132581,13.7919708919293,9.04238424601794,-237.454923108936,2.60320912742428,139.449867649438,0.684994986503834,44.5498198072818,13.7919708919085,9.04238424601272,-237.45492310959,2.60320912742514
"beta_female_bo",65.4220841301892,0.321361902607799,20.9002858821817,6.47042095403746,4.24218177173354,2.60320916727156,-112.782508859324,65.4220841301835,0.32136190260787,20.9002858823236,6.47042095403734,4.24218177173565,2.60320916727028,-112.782508859333,65.4220841301649,0.321361902607895,20.9002858823593,6.47042095404022,4.24218177173635,2.60320916727086,-112.782508859324,65.42208413018,0.321361902607816,20.9002858823539,6.47042095405331,4.24218177173618,2.60320916727143,-112.782508859332,65.4220841301994,0.321361902607855,20.9002858823414,6.47042095405519,4.24218177173537,2.60320916727101,-112.782508859317,65.4220841295747,0.321361902607889,20.900285882313,6.47042095406515,4.24218177172643,2.60320916727103,-112.782508859311,65.4220841302004,0.321361902607843,20.9002858822641,6.4704209540554,4.24218177172398,2.60320916727051,-112.782508859356
"beta_distance_dp",-2602.44649965248,17.2148438702242,1119.59584523369,346.610398017609,227.247056075308,139.449864506101,65.4220817055,-2602.44649965225,17.214843870228,1119.59584524129,346.610398017602,227.247056075421,139.449864506032,65.4220817055051,-2602.44649965151,17.2148438702293,1119.59584524256,346.610398017756,227.247056075459,139.449864506063,65.4220817055044,-2602.4464996521,17.2148438702251,1119.59584524227,346.610398035992,227.24705607545,139.449864506094,65.422081705509,-2602.44649965288,17.2148438702271,1119.59584516603,346.610398036093,227.247056075406,139.449864506071,65.4220817055002,-2602.44649964278,17.214843870229,1119.59584524072,346.610398036626,227.24705607489,139.449864506072,65.4220817054965,-2602.44649965261,17.2148438702265,1119.59584516125,346.610398036104,227.247056074759,139.449864506044,65.4220817055181
"beta_distance_do",17.2148442997842,-29.9138324088076,5.49959807773215,1.70259484878758,1.11626656583299,0.68499565997038,0.321361621063705,17.2148442997827,-29.9138324088142,5.49959807776949,1.70259484878755,1.11626656583354,0.684995659970042,0.32136162106373,17.2148442997778,-29.9138324088165,5.49959807777882,1.7025948487883,1.11626656583373,0.684995659970195,0.321361621063726,17.2148443004917,-29.9138324088092,5.49959807777739,1.70259484879049,1.11626656583368,0.684995659970346,0.321361621063749,17.2148442997869,-29.9138324088128,5.49959807777389,1.70259484879098,1.11626656583347,0.684995659970235,0.321361621063706,17.2148443002862,-29.913832408816,5.4995980777667,1.7025948487936,1.11626656583376,0.684995659970241,0.321361621063688,17.2148442997862,-29.9138324088117,5.49959807775347,1.70259484879104,1.11626656583312,0.684995659970103,0.321361621063794
