mode	independence	ind_3	ind_3_alt	mode_ind	mode_ind_3	mode_ind_3_alt	income_k	veh_per_driver	n_adults	has_mom	has_dad	non_work_mom	non_work_dad	age	female	has_lil_sib	has_big_sib	distance	density
7	22	20	20	722	720	720	5	1	1	TRUE	FALSE	TRUE	FALSE	12	FALSE	TRUE	FALSE	0.057923999999999996	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	13	TRUE	TRUE	FALSE	1.234103	2702.702702702703
7	22	20	20	722	720	720	62.5	2	1	TRUE	FALSE	FALSE	FALSE	10	TRUE	TRUE	FALSE	1.232494	2702.702702702703
9	10	10	10	910	910	910	5	0	1	TRUE	FALSE	TRUE	FALSE	9	FALSE	FALSE	FALSE	1.0732030000000001	2702.702702702703
8	24	20	30	824	820	830	5	0.5	2	TRUE	FALSE	FALSE	FALSE	13	FALSE	TRUE	FALSE	1.8406959999999999	2702.702702702703
7	22	20	20	722	720	720	30	1.5	2	TRUE	TRUE	FALSE	FALSE	8	TRUE	FALSE	FALSE	1.6427889999999998	2702.702702702703
7	22	20	20	722	720	720	112.5	1.5	2	TRUE	TRUE	FALSE	FALSE	11	FALSE	TRUE	FALSE	1.819779	289.5752895752896
7	23	20	20	723	720	720	87.5	1	2	TRUE	TRUE	TRUE	FALSE	10	FALSE	FALSE	FALSE	1.8825299999999998	1158.3011583011585
7	23	20	20	723	720	720	87.5	1	2	TRUE	TRUE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.740938	2702.702702702703
8	21	20	20	821	820	820	62.5	0.5	2	TRUE	TRUE	FALSE	FALSE	8	TRUE	FALSE	FALSE	1.193878	1158.3011583011585
8	30	30	30	830	830	830	112.5	1.5	1	FALSE	TRUE	FALSE	FALSE	11	FALSE	TRUE	FALSE	0.432821	2702.702702702703
8	10	10	10	810	810	810	5	1	2	TRUE	TRUE	TRUE	TRUE	13	FALSE	FALSE	FALSE	0.429603	6563.706563706564
8	22	20	20	822	820	820	137.5	1	2	TRUE	TRUE	FALSE	FALSE	8	TRUE	FALSE	FALSE	0.474655	6563.706563706564
8	10	10	10	810	810	810	5	1	2	TRUE	TRUE	TRUE	TRUE	12	FALSE	FALSE	FALSE	0.350762	2702.702702702703
7	22	20	20	722	720	720	250	2	2	TRUE	TRUE	TRUE	FALSE	10	TRUE	TRUE	FALSE	1.3000720000000001	579.1505791505792
7	22	20	20	722	720	720	175	1	2	TRUE	TRUE	TRUE	FALSE	10	TRUE	FALSE	FALSE	1.1166459999999998	579.1505791505792
7	23	20	20	723	720	720	175	1	2	TRUE	TRUE	FALSE	FALSE	13	FALSE	TRUE	FALSE	1.745765	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	1	TRUE	FALSE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.555903	2702.702702702703
7	22	20	20	722	720	720	137.5	1	2	TRUE	FALSE	FALSE	FALSE	10	FALSE	FALSE	FALSE	1.04585	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	2	TRUE	TRUE	TRUE	FALSE	8	FALSE	FALSE	FALSE	1.9613710000000002	579.1505791505792
8	22	20	20	822	820	820	250	1.5	2	TRUE	TRUE	TRUE	FALSE	9	FALSE	TRUE	FALSE	1.214795	2702.702702702703
7	23	20	20	723	720	720	112.5	1	2	TRUE	TRUE	TRUE	TRUE	11	TRUE	TRUE	FALSE	1.308117	115.83011583011583
8	24	20	30	824	820	830	175	1	2	TRUE	TRUE	FALSE	FALSE	12	FALSE	TRUE	FALSE	1.306508	2702.702702702703
7	23	20	20	723	720	720	112.5	0	2	TRUE	TRUE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.44569300000000006	2702.702702702703
9	30	30	30	930	930	930	250	0.5	2	TRUE	TRUE	TRUE	FALSE	12	TRUE	FALSE	FALSE	1.605782	2702.702702702703
8	22	20	20	822	820	820	87.5	0.5	2	TRUE	TRUE	FALSE	FALSE	8	FALSE	FALSE	FALSE	0.666126	289.5752895752896
8	10	10	10	810	810	810	30	1.5	2	TRUE	TRUE	FALSE	FALSE	12	TRUE	TRUE	FALSE	1.2872000000000001	1158.3011583011585
7	23	20	20	723	720	720	87.5	1	2	TRUE	TRUE	FALSE	FALSE	8	TRUE	TRUE	FALSE	0.987926	2702.702702702703
8	30	30	30	830	830	830	42.5	1.5	2	TRUE	TRUE	FALSE	FALSE	9	TRUE	FALSE	TRUE	1.1504349999999999	579.1505791505792
7	22	20	20	722	720	720	250	1	2	TRUE	TRUE	TRUE	FALSE	8	TRUE	TRUE	FALSE	1.740938	1158.3011583011585
7	23	20	20	723	720	720	42.5	0.3333333333333333	2	TRUE	TRUE	FALSE	FALSE	10	TRUE	FALSE	TRUE	0.913912	1158.3011583011585
8	30	30	30	830	830	830	62.5	1	3	TRUE	TRUE	TRUE	FALSE	12	FALSE	TRUE	FALSE	0.82059	2702.702702702703
7	22	20	20	722	720	720	5	0	2	TRUE	TRUE	TRUE	FALSE	8	TRUE	FALSE	FALSE	1.322598	1158.3011583011585
7	23	20	20	723	720	720	137.5	1	2	TRUE	TRUE	FALSE	FALSE	12	FALSE	TRUE	FALSE	1.3290339999999998	1158.3011583011585
7	22	20	20	722	720	720	112.5	1	2	TRUE	TRUE	FALSE	FALSE	8	FALSE	TRUE	FALSE	1.362823	2702.702702702703
7	22	20	20	722	720	720	62.5	0.75	4	TRUE	TRUE	TRUE	TRUE	12	FALSE	TRUE	FALSE	1.290418	1158.3011583011585
7	23	20	20	723	720	720	62.5	1	2	TRUE	TRUE	FALSE	FALSE	11	TRUE	TRUE	FALSE	0.601766	579.1505791505792
9	30	30	30	930	930	930	112.5	1	2	TRUE	TRUE	TRUE	FALSE	11	TRUE	TRUE	FALSE	1.198705	2702.702702702703
9	10	10	10	910	910	910	62.5	1.5	2	TRUE	TRUE	FALSE	FALSE	9	FALSE	FALSE	FALSE	0.711178	19.305019305019307
8	21	20	20	821	820	820	112.5	1	2	TRUE	TRUE	TRUE	FALSE	9	FALSE	FALSE	FALSE	1.1375629999999999	1158.3011583011585
7	22	20	20	722	720	720	62.5	1	2	TRUE	TRUE	TRUE	FALSE	8	TRUE	TRUE	FALSE	0.976663	2702.702702702703
7	22	20	20	722	720	720	250	1.5	2	TRUE	TRUE	FALSE	FALSE	11	TRUE	TRUE	FALSE	1.3402969999999998	2702.702702702703
7	23	20	20	723	720	720	112.5	1	2	TRUE	TRUE	TRUE	FALSE	8	FALSE	TRUE	FALSE	0.716005	1158.3011583011585
9	22	20	20	922	920	920	175	1	2	TRUE	TRUE	FALSE	FALSE	9	FALSE	FALSE	FALSE	1.295245	2702.702702702703
9	10	10	10	910	910	910	250	1.5	2	TRUE	TRUE	FALSE	FALSE	12	FALSE	TRUE	FALSE	0.8994310000000001	2702.702702702703
7	23	20	20	723	720	720	137.5	1	2	TRUE	TRUE	FALSE	FALSE	8	TRUE	FALSE	FALSE	1.441664	2702.702702702703
7	22	20	20	722	720	720	42.5	1	2	TRUE	TRUE	TRUE	FALSE	10	FALSE	TRUE	FALSE	1.427183	289.5752895752896
7	22	20	20	722	720	720	87.5	1	2	TRUE	TRUE	FALSE	FALSE	8	TRUE	FALSE	FALSE	1.0973380000000001	579.1505791505792
